1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
475	-1.113186	213.174589	10.409630	0.005511	3.1
476	-1.114960	214.043845	10.371133	0.006670	3.4
477	-1.102186	213.953902	10.375103	0.004926	3.6
478	-1.115402	213.944460	10.375520	0.010274	3.3
479	-1.123503	213.854517	10.379493	0.007831	3.7
480	-1.138715	214.854517	10.335485	0.008354	4.0
481	-1.118327	215.854517	10.291849	0.008231	3.4
482	-1.129686	216.854517	10.248579	0.007503	3.0
483	-1.131952	217.854517	10.205672	0.007138	2.8
484	-1.109975	217.764579	10.209516	0.008554	2.9
485	-1.091322	218.759750	10.167140	0.006266	3.2
486	-1.149792	218.874787	10.162264	0.007416	3.4
487	-1.159357	218.784855	10.166075	0.009249	3.0
488	-1.137243	219.784855	10.123855	0.010399	3.7
489	-1.117946	220.784855	10.081983	0.008434	3.3
490	-1.157183	221.784855	10.040457	0.007317	3.1
491	-1.102559	221.694912	10.044178	0.005020	3.3
492	-1.121163	222.667577	10.004084	0.004626	3.6
493	-1.112377	222.592665	10.007160	0.007517	3.1
494	-1.142973	222.565064	10.008294	0.007517	2.9
495	-1.074280	223.565064	9.967372	0.007322	2.9
496	-1.143328	223.475121	9.971039	0.008132	2.8
497	-1.142840	223.385181	9.974708	0.006923	3.2
498	-1.131473	224.270837	9.938690	0.007042	3.4
499	-1.175959	224.180894	9.942336	0.008592	3.1
500	-1.092351	224.090951	9.945985	0.006434	3.2
501	-1.070917	225.090951	9.905569	0.006022	3.2
502	-1.118043	225.277096	9.898082	0.006188	3.0
503	-1.137695	225.187181	9.901697	0.008642	2.8
504	-1.105553	226.186873	9.861652	0.010306	2.9
505	-1.116048	227.186873	9.821917	0.008983	2.8
506	-1.135788	227.096930	9.825478	0.007720	2.8
507	-1.098711	228.096929	9.786033	0.006271	3.3
508	-1.126747	228.572850	9.767372	0.007542	3.3
509	-1.099484	229.450245	9.733154	0.008348	3.0
