[[-4.52449799e+01 -2.39091869e-02]
 [ 7.44578791e+00  1.06210855e-03]
 [ 7.75147915e+00  1.33826002e-03]
 [ 8.05684471e+00  1.56909763e-03]
 [ 8.36187553e+00  1.75721594e-03]
 [ 8.66656399e+00  1.90520962e-03]
 [ 8.97090244e+00  2.01567332e-03]
 [ 9.27488327e+00  2.09120172e-03]
 [ 9.57849693e+00  2.13438948e-03]
 [ 9.88173771e+00  2.14783149e-03]
 [ 1.01845951e+01  2.13412195e-03]
 [ 1.04870634e+01  2.09585577e-03]
 [ 1.07891340e+01  2.03562761e-03]
 [ 1.10907984e+01  1.95603189e-03]
 [ 1.13920488e+01  1.85966364e-03]
 [ 1.16928768e+01  1.74911728e-03]
 [ 1.19932756e+01  1.62698759e-03]
 [ 1.22932377e+01  1.49586902e-03]
 [ 1.25927525e+01  1.35835644e-03]
 [ 1.28918142e+01  1.21704431e-03]
 [ 1.31904144e+01  1.07452751e-03]
 [ 1.34885454e+01  9.33400530e-04]
 [ 1.37861986e+01  7.96258042e-04]
 [ 1.40833664e+01  6.65694766e-04]
 [ 1.43800411e+01  5.44305251e-04]
 [ 1.46762142e+01  4.34684276e-04]
 [ 1.49718876e+01  3.38458980e-04]
 [ 1.52671022e+01  2.53386912e-04]
 [ 1.55619097e+01  1.76258109e-04]
 [ 1.58563595e+01  1.03862665e-04]
 [ 1.61505032e+01  3.29906652e-05]
 [ 1.64443932e+01 -3.95678217e-05]
 [ 1.67380772e+01 -1.17022726e-04]
 [ 1.70316086e+01 -2.02583964e-04]
 [ 1.73250370e+01 -2.99461448e-04]
 [ 1.76184120e+01 -4.10865148e-04]
 [ 1.79117870e+01 -5.40004927e-04]
 [ 1.82052116e+01 -6.90090761e-04]
 [ 1.84987354e+01 -8.64332542e-04]
 [ 1.87924118e+01 -1.06594025e-03]
 [ 1.90862885e+01 -1.29812374e-03]
 [ 1.93804207e+01 -1.56409293e-03]
 [ 1.96748543e+01 -1.86705776e-03]
 [ 1.99696426e+01 -2.21022824e-03]
 [ 2.02648373e+01 -2.59681419e-03]
 [ 2.05604877e+01 -3.03002540e-03]
 [ 2.08566437e+01 -3.51307215e-03]
 [ 2.11533585e+01 -4.04916424e-03]
 [ 2.14506817e+01 -4.64151148e-03]
 [ 2.17486629e+01 -5.29332366e-03]
 [ 2.20473557e+01 -6.00781105e-03]
 [ 2.23468094e+01 -6.78818347e-03]
 [ 2.26470737e+01 -7.63765071e-03]
 [ 2.29482021e+01 -8.55942257e-03]
 [ 2.32502422e+01 -9.55670979e-03]
 [ 2.35532475e+01 -1.06327208e-02]
 [ 2.38572674e+01 -1.17906667e-02]
